SPI,Mean LOOCV Accuracy
reci,0.948275862
cov_MinCovDet,0.931034483
ce_gaussian,0.913793103
cov_EllipticEnvelope,0.913793103
dcorrx_maxlag-10,0.913793103
dtw_constraint-itakura,0.913793103
hsic,0.913793103
hsic_biased,0.913793103
je_gaussian,0.913793103
mi_gaussian,0.913793103
prec_GraphicalLassoCV,0.913793103
prec_LedoitWolf,0.913793103
prec_OAS,0.913793103
tlmi_gaussian,0.913793103
bary_euclidean_max,0.896551724
cce_kernel_W-0.5,0.896551724
hhg,0.896551724
mgcx_maxlag-10,0.896551724
prec_EmpiricalCovariance,0.896551724
prec_GraphicalLasso,0.896551724
prec_ShrunkCovariance,0.896551724
ce_kernel_W-0.5,0.879310345
dcorr,0.879310345
dcorr_biased,0.879310345
gpfit_RBF,0.879310345
prec_EllipticEnvelope,0.879310345
prec_MinCovDet,0.879310345
softdtw,0.879310345
softdtw_constraint-itakura,0.879310345
softdtw_constraint-sakoe-chiba,0.879310345